"Study Id","Subject Id","Organ","Compartment","Species","Gender","Dose","Molecule","Molecular Weight","Time","Time unit","Measurement","Measurement unit","Error","LLOQ","Route","Group Id","Population","Weight [kg]","Height [cm]","Age [year(s)]","subject Id"
"Chen 2024 Supp Fig 1",.,"Venous Blood","Plasma","NHP",.,5,"Atezolizumab",144000,666.7,"hr",18.39,"ug/mL",.,.,"IV Bolus",.,.,5,45,.,2
"Chen 2024 Supp Fig 1",.,"Venous Blood","Plasma","NHP",.,5,"Atezolizumab",144000,839.17,"hr",13.63,"ug/mL",.,.,"IV Bolus",.,.,5,45,.,2
"Chen 2024 Supp Fig 1",.,"Venous Blood","Plasma","NHP",.,5,"Atezolizumab",144000,410.2,"hr",14.05,"ug/mL",.,.,"IV Bolus",.,.,5,45,.,2
"Chen 2024 Supp Fig 1",.,"Venous Blood","Plasma","NHP",.,5,"Atezolizumab",144000,504.32,"hr",25.92,"ug/mL",.,.,"IV Bolus",.,.,5,45,.,2
"Chen 2024 Supp Fig 1",.,"Venous Blood","Plasma","NHP",.,5,"Atezolizumab",144000,332.73,"hr",10.48,"ug/mL",.,.,"IV Bolus",.,.,5,45,.,2
"Chen 2024 Supp Fig 1",.,"Venous Blood","Plasma","NHP",.,20,"Atezolizumab",144000,0.62,"hr",603.49,"ug/mL",.,.,"IV Bolus",.,.,5,45,.,3
"Chen 2024 Supp Fig 1",.,"Venous Blood","Plasma","NHP",.,20,"Atezolizumab",144000,10.86,"hr",408.05,"ug/mL",.,.,"IV Bolus",.,.,5,45,.,3
"Chen 2024 Supp Fig 1",.,"Venous Blood","Plasma","NHP",.,20,"Atezolizumab",144000,24.58,"hr",309.85,"ug/mL",.,.,"IV Bolus",.,.,5,45,.,3
"Chen 2024 Supp Fig 1",.,"Venous Blood","Plasma","NHP",.,20,"Atezolizumab",144000,70.26,"hr",276.28,"ug/mL",.,.,"IV Bolus",.,.,5,45,.,3
"Chen 2024 Supp Fig 1",.,"Venous Blood","Plasma","NHP",.,20,"Atezolizumab",144000,117.68,"hr",229.12,"ug/mL",.,.,"IV Bolus",.,.,5,45,.,3
"Chen 2024 Supp Fig 1",.,"Venous Blood","Plasma","NHP",.,20,"Atezolizumab",144000,170.16,"hr",192.81,"ug/mL",.,.,"IV Bolus",.,.,5,45,.,3
"Chen 2024 Supp Fig 1",.,"Venous Blood","Plasma","NHP",.,20,"Atezolizumab",144000,324.24,"hr",111.61,"ug/mL",.,.,"IV Bolus",.,.,5,45,.,3
"Chen 2024 Supp Fig 1",.,"Venous Blood","Plasma","NHP",.,20,"Atezolizumab",144000,501.76,"hr",85.19,"ug/mL",.,.,"IV Bolus",.,.,5,45,.,3
"Chen 2024 Supp Fig 2",.,"Venous Blood","Plasma","NHP",.,20,"Atezolizumab",144000,674.61,"hr",38,"ug/mL",.,.,"IV Bolus",.,.,5,45,.,4
"Chen 2024 Supp Fig 3",.,"Venous Blood","Plasma","NHP",.,20,"Atezolizumab",144000,840.21,"hr",33.03,"ug/mL",.,.,"IV Bolus",.,.,5,45,.,5
"Chen 2024 Supp Fig 4",.,"Venous Blood","Plasma","NHP",.,20,"Atezolizumab",144000,1009.45,"hr",20.28,"ug/mL",.,.,"IV Bolus",.,.,5,45,.,6
"Chen 2024 Supp Fig 5",.,"Venous Blood","Plasma","NHP",.,20,"Atezolizumab",144000,1175.3,"hr",12.44,"ug/mL",.,.,"IV Bolus",.,.,5,45,.,7
"Chen 2024 Supp Fig 6",.,"Venous Blood","Plasma","NHP",.,20,"Atezolizumab",144000,1342.98,"hr",6.42,"ug/mL",.,.,"IV Bolus",.,.,5,45,.,8
